"","A","S","E","O","R","T"
"471","young","M","high","emp","big","other"
"472","young","M","high","emp","big","car"
"473","adult","M","uni","emp","small","train"
"474","old","F","high","emp","big","car"
"475","old","M","high","emp","small","train"
"476","young","F","high","self","big","car"
"477","adult","F","high","emp","big","car"
"478","old","F","high","emp","big","car"
"479","young","M","uni","emp","big","train"
"480","adult","F","high","emp","big","other"
"481","adult","F","high","emp","big","other"
"482","adult","F","high","emp","big","train"
"483","adult","F","high","emp","big","car"
"484","adult","F","high","emp","big","car"
"485","old","M","high","emp","big","car"
"486","old","F","high","emp","big","car"
"487","adult","M","uni","emp","big","train"
"488","old","M","high","emp","big","car"
"489","adult","M","high","emp","small","car"
"490","young","F","uni","emp","big","car"
"491","old","M","high","emp","big","train"
"492","old","F","high","emp","big","other"
"493","adult","M","high","emp","big","car"
"494","young","M","high","emp","small","car"
"495","old","M","high","emp","big","car"
"496","adult","F","high","emp","small","other"
"497","adult","M","uni","emp","small","other"
"498","old","F","high","emp","small","other"
"499","young","M","uni","emp","small","train"
"500","old","M","high","emp","big","car"
"501","adult","M","uni","self","small","car"
"502","adult","F","high","emp","big","car"
"503","old","M","high","emp","big","car"
"504","adult","M","high","emp","big","train"
"505","adult","M","high","emp","big","train"
"506","adult","M","uni","emp","big","car"
"507","young","M","high","emp","big","car"
"508","old","M","high","emp","big","other"
"509","old","M","high","emp","small","train"
"510","young","M","high","emp","big","car"
"511","old","M","high","emp","big","train"
"512","adult","M","uni","emp","big","car"
"513","adult","M","uni","emp","big","car"
"514","young","M","high","emp","big","train"
"515","old","M","high","emp","big","car"
"516","young","M","uni","emp","small","other"
"517","adult","F","high","emp","big","other"
"518","adult","M","uni","emp","big","car"
"519","young","F","uni","self","big","train"
"520","young","M","high","emp","big","train"
"521","adult","M","high","emp","small","car"
"522","adult","M","uni","emp","small","train"
"523","adult","F","high","emp","big","train"
"524","adult","F","high","emp","big","car"
"525","adult","M","high","emp","big","car"
"526","adult","M","high","emp","small","train"
"527","young","M","high","self","big","car"
"528","adult","F","high","emp","big","train"
"529","adult","M","uni","emp","big","train"
"530","adult","F","uni","emp","big","car"
"531","young","M","high","emp","small","other"
"532","young","F","uni","emp","big","train"
"533","old","M","high","emp","big","car"
"534","young","M","uni","emp","big","car"
"535","adult","M","high","emp","big","car"
"536","adult","F","high","emp","big","other"
"537","young","F","uni","emp","big","car"
"538","old","M","high","emp","small","train"
"539","young","F","uni","emp","big","other"
"540","young","M","high","emp","big","train"
"541","young","F","high","emp","big","car"
"542","adult","F","high","emp","big","car"
"543","adult","M","uni","emp","small","train"
"544","young","M","uni","emp","big","car"
"545","old","F","high","emp","big","car"
"546","old","M","high","emp","big","car"
"547","adult","M","high","emp","big","other"
"548","adult","M","high","emp","big","train"
"549","adult","M","uni","emp","big","car"
"550","young","F","uni","emp","small","train"
"551","adult","M","high","emp","small","car"
"552","adult","M","high","self","big","car"
"553","adult","M","high","emp","big","car"
"554","old","F","high","emp","big","train"
"555","young","M","uni","emp","big","car"
"556","adult","F","high","emp","big","car"
"557","young","M","uni","emp","big","train"
"558","adult","F","high","emp","small","train"
"559","adult","M","uni","emp","big","car"
"560","adult","M","high","emp","big","car"
"561","young","M","high","emp","big","train"
"562","young","F","uni","emp","big","other"
"563","adult","M","high","emp","big","train"
"564","old","M","high","emp","big","car"
"565","adult","M","uni","emp","big","car"
"566","young","F","high","emp","big","car"
"567","young","M","high","emp","big","train"
"568","young","M","high","emp","big","car"
"569","young","M","uni","emp","big","car"
"570","young","F","uni","emp","small","train"
"571","adult","M","high","emp","big","train"
"572","young","F","high","emp","small","car"
"573","adult","F","high","emp","big","car"
"574","young","M","uni","emp","small","car"
"575","adult","F","uni","emp","big","train"
"576","old","M","high","emp","big","other"
"577","adult","M","high","emp","big","car"
"578","adult","M","uni","emp","big","other"
"579","adult","F","high","emp","big","car"
"580","adult","M","high","emp","big","train"
"581","adult","M","high","emp","big","other"
"582","young","F","high","emp","small","train"
"583","adult","M","high","emp","big","train"
"584","old","M","high","emp","big","car"
"585","adult","M","high","emp","big","other"
"586","old","F","high","emp","big","car"
"587","young","M","uni","emp","big","train"
"588","young","M","high","emp","small","car"
"589","adult","F","high","emp","big","other"
"590","young","M","uni","emp","big","train"
"591","adult","F","high","emp","big","train"
"592","young","M","uni","emp","big","car"
"593","adult","F","high","emp","big","car"
"594","adult","M","high","emp","big","car"
"595","adult","M","uni","emp","big","car"
"596","young","F","high","emp","small","train"
"597","adult","M","uni","emp","small","train"
"598","young","M","high","emp","big","car"
"599","adult","M","high","emp","big","car"
"600","young","M","high","emp","big","other"
"601","young","F","high","emp","big","car"
"602","adult","M","uni","emp","big","other"
"603","old","M","high","emp","small","car"
"604","adult","M","high","emp","big","car"
"605","adult","F","uni","self","big","car"
"606","adult","M","high","emp","big","car"
"607","young","F","high","emp","big","car"
"608","adult","F","high","emp","small","train"
"609","adult","M","uni","emp","big","other"
"610","old","F","high","emp","big","car"
"611","young","M","uni","emp","big","car"
"612","adult","M","uni","emp","big","train"
"613","adult","F","uni","emp","small","train"
"614","old","M","high","emp","small","train"
"615","old","M","high","emp","small","train"
"616","adult","M","uni","self","big","car"
"617","adult","F","uni","emp","big","car"
"618","old","F","high","emp","big","car"
"619","adult","F","uni","self","big","train"
"620","adult","M","high","emp","big","train"
"621","old","F","high","emp","big","car"
"622","young","M","high","emp","big","train"
"623","young","M","high","emp","small","car"
"624","adult","F","uni","emp","big","car"
"625","adult","F","uni","emp","big","other"
"626","adult","F","uni","emp","small","train"
"627","young","M","high","emp","big","car"
"628","adult","F","uni","emp","big","other"
"629","adult","F","uni","emp","big","car"
"630","adult","F","uni","emp","big","car"
"631","old","M","high","emp","big","train"
"632","adult","M","high","emp","big","car"
"633","old","F","high","emp","big","train"
"634","adult","F","high","emp","big","car"
"635","adult","M","high","emp","big","other"
"636","adult","M","high","emp","big","car"
"637","adult","M","high","emp","big","car"
"638","adult","M","uni","emp","big","car"
"639","adult","F","high","emp","big","car"
"640","adult","M","high","emp","small","car"
"641","old","M","high","emp","big","car"
"642","adult","F","high","emp","big","car"
"643","adult","M","uni","emp","big","car"
"644","adult","F","high","emp","small","car"
"645","young","F","high","emp","big","car"
"646","adult","M","high","emp","big","train"
"647","young","F","high","emp","big","train"
"648","adult","M","high","emp","big","car"
"649","adult","M","high","emp","big","car"
"650","adult","F","high","emp","big","train"
"651","old","F","high","emp","big","car"
"652","young","M","high","emp","small","train"
"653","young","F","uni","emp","big","train"
"654","adult","M","high","emp","big","car"
"655","young","M","uni","emp","small","train"
"656","adult","M","high","emp","small","train"
"657","old","M","high","emp","big","car"
"658","old","M","high","emp","big","car"
"659","adult","M","uni","emp","big","car"
"660","adult","F","high","emp","small","car"
"661","adult","F","high","emp","small","car"
"662","adult","F","uni","emp","small","train"
"663","old","M","uni","emp","small","train"
"664","old","F","high","emp","big","other"
"665","adult","M","high","emp","big","car"
"666","adult","M","high","emp","big","car"
"667","young","M","high","emp","big","other"
"668","adult","M","uni","emp","big","other"
"669","young","M","high","emp","big","car"
"670","adult","M","high","emp","big","train"
"671","young","F","high","emp","big","train"
"672","young","M","uni","emp","small","car"
"673","young","F","high","emp","small","train"
"674","old","M","high","emp","big","train"
"675","adult","M","high","emp","big","other"
"676","adult","M","high","emp","big","train"
"677","old","F","high","emp","big","car"
"678","young","M","high","emp","big","car"
"679","adult","M","high","emp","big","car"
"680","adult","M","high","emp","big","train"
"681","adult","M","high","emp","small","other"
"682","adult","M","uni","emp","big","other"
"683","old","F","high","emp","big","car"
"684","adult","M","high","emp","big","car"
"685","adult","F","uni","emp","big","car"
"686","adult","M","uni","emp","big","train"
"687","old","M","high","emp","small","car"
"688","young","M","high","emp","big","train"
"689","young","M","high","emp","big","car"
"690","adult","M","high","emp","big","train"
"691","adult","F","high","emp","big","car"
"692","old","M","high","emp","big","car"
"693","young","F","high","emp","big","train"
"694","adult","M","high","emp","big","car"
"695","adult","M","high","emp","big","other"
"696","adult","M","high","emp","small","car"
"697","old","F","high","emp","big","train"
"698","young","F","uni","emp","big","car"
"699","adult","F","high","emp","small","other"
"700","young","F","uni","emp","small","train"
"701","adult","M","high","emp","big","train"
"702","adult","M","uni","emp","big","car"
"703","old","M","high","emp","big","other"
"704","young","F","high","emp","big","train"
"705","adult","F","high","emp","big","other"
"706","adult","F","high","emp","big","other"
"707","adult","F","high","self","big","train"
"708","adult","M","uni","emp","small","car"
"709","adult","F","uni","emp","big","car"
"710","young","M","high","emp","big","train"
"711","adult","F","high","emp","big","car"
"712","adult","F","high","emp","big","train"
"713","adult","M","high","emp","big","train"
"714","young","M","high","emp","big","car"
"715","young","M","high","emp","big","car"
"716","adult","M","high","emp","big","other"
"717","adult","M","uni","emp","big","car"
"718","young","F","uni","self","big","train"
"719","adult","M","high","emp","big","train"
"720","young","F","high","emp","big","car"
"721","adult","F","high","emp","big","car"
"722","adult","M","uni","emp","big","train"
"723","adult","M","high","emp","small","train"
"724","adult","M","uni","emp","big","train"
"725","adult","F","high","emp","small","train"
"726","adult","M","high","emp","big","car"
"727","adult","F","high","emp","small","car"
"728","adult","M","high","emp","big","car"
"729","adult","F","high","emp","big","train"
"730","young","M","high","emp","big","train"
"731","adult","M","high","self","small","car"
"732","old","M","high","emp","big","car"
"733","adult","M","high","emp","big","car"
"734","adult","F","high","emp","big","other"
"735","old","M","high","emp","small","other"
"736","old","M","high","emp","small","train"
"737","adult","M","high","emp","big","train"
"738","adult","M","high","emp","big","train"
"739","adult","M","uni","emp","big","car"
"740","young","M","high","emp","small","train"
"741","adult","F","uni","emp","small","train"
"742","young","M","high","emp","big","car"
"743","young","F","high","emp","big","car"
"744","adult","F","high","emp","big","other"
"745","young","M","high","emp","big","train"
"746","young","F","high","emp","small","other"
"747","young","M","high","emp","small","car"
"748","old","M","high","emp","big","other"
"749","adult","F","high","emp","small","car"
"750","adult","F","high","emp","big","car"
"751","adult","M","uni","emp","big","car"
"752","adult","F","high","emp","big","car"
"753","old","M","high","emp","big","other"
"754","young","M","high","emp","small","car"
"755","adult","M","high","emp","big","train"
"756","old","F","high","emp","big","train"
"757","adult","M","high","emp","big","car"
"758","old","F","high","emp","big","train"
"759","young","M","high","emp","big","other"
"760","old","F","high","emp","big","train"
"761","adult","M","high","emp","big","car"
"762","young","M","uni","self","big","car"
"763","adult","M","uni","emp","big","other"
"764","young","M","uni","emp","big","train"
"765","old","M","high","emp","big","train"
"766","adult","M","uni","emp","big","train"
"767","young","M","uni","emp","big","other"
"768","young","M","high","emp","big","train"
"769","old","F","uni","emp","big","car"
"770","adult","F","high","emp","small","car"
"771","adult","M","uni","emp","big","car"
"772","young","F","uni","emp","small","car"
"773","adult","F","high","emp","big","car"
"774","old","M","high","emp","big","car"
"775","adult","M","high","emp","small","car"
"776","old","F","high","self","big","car"
"777","young","M","high","emp","big","train"
"778","adult","M","uni","emp","big","other"
"779","old","M","high","emp","big","train"
"780","old","F","high","emp","big","train"
"781","old","F","high","emp","big","other"
"782","young","F","high","emp","small","train"
"783","young","M","high","emp","big","car"
"784","adult","M","high","emp","small","other"
"785","adult","M","high","emp","small","car"
"786","adult","M","high","emp","big","car"
"787","adult","F","high","emp","big","car"
